COMMAND,EXPLANATION,BIKOU ^
A:,ドライブ名を入力すると切り替える事が出来る, ^
CLS,画面のクリア, ^
COLOR,背景前景色,COLOR FC  ^
REN,RENAME,>REN C:\マクロ2.DOC MACRO2.DOC ^
NSLOOKUP,NAME SERVER LOOK UP ドメインとIPアドレスが変換できているか確認.ローカルのHOSTS ファイルの中身を反映する,NSLOOKUP YAHOO.CO.JP ^
TITLE,コマンド プロンプト ウィンドウのウィンドウ タイトルを設定します。TITLE [文字列]  文字列       コマンド プロンプト ウィンドウのタイトルを指定します。, ^
DIR /O:D,/OはDIRのオプション。:Dは/Oのオプション。この記述はファイル名を日付降順で表示する。, ^
CHKDSK,ディスクをチェックし、現在の状態を表示します。 
CHKDSK [ボリューム[[パス]ファイル名]]] [/F] [/V] [/R] [/X] [/I] [/C] [/L[:サイズ]], , ^
CHKDSK /F,ディスクのエラーを修復します。, ^
CHKDSK /V,FAT/FAT32:ディスクの全ファイルの完全なパスと名前を表示します。NTFS: クリーン アップ メッセージがあればそれも表示します。, ^
CHKDSK /L, NTFS のみ: ログ ファイル サイズを指定された KB 数に変更します。サイズが指定されていないときは、現在のサイズを表示します。, ^
CHKDSK /X,必要であれば、最初にボリュームを強制的にマウントを解除します。ボリュームへ開かれているすべてのハンドルは、無効になります。, ^
CHKDSK /I,NTFS のみ: インデックス エントリのチェックを抑制して実施します。/I または /C スイッチは、ボリュームのあるチェックをスキップして、CHKDSK の実行時間を短くします。/I または /C スイッチは、ボリュームのあるチェックをスキップして、CHKDSK の実行時間を短くします。, ^
CHKDSK /C, NTFS のみ; フォルダ構造内の周期的なチェックをスキップ します。/I または /C スイッチは、ボリュームのあるチェックをスキップして、CHKDSK の実行時間を短くします。, ^
［CONTROL－←］,語単位でカーソルを右へ移動, ^
［CONTROL－→］,語単位でカーソルを左へ移動, ^
［CONTROL－HOME］,行の先頭からカーソル位置までを削除, ^
［CONTROL－END］,カーソル位置から行末までを削除, ^
［F1］,［→］キーと同じ, ^
［F2］,指定した文字（［F2］キーに続いて入力する）の直前までコピー, ^
［F3］,直前の行をすべてコピーして、カーソルを行末へ移動, ^
［F4］,カーソル位置から指定した文字（［F4］キーに続いて入力する）の直前までを削除, ^
［F5］,［↑］キーと同じ, ^
［F6］,EOF（CONTROL-Z）を入力, ^
［F7］,コマンド履歴ウィンドウをポップアップ表示する。［↑］、［↓］キーでコマンド履歴を選択して、［←］、［→］キーを押すとそのコマンドが入力され、リターン キーを押すとそのコマンドが入力、実行される, ^
［F8］,コマンド履歴からカーソルの左側部分に一致するものを選び、順番に表示する。カーソルが行の先頭にあるときは、全コマンド履歴を順番に表示, ^
［F9］,指定した履歴番号のコマンドを入力。番号を入力してからリターン キーを押すとコマンドが入力される, ^
CMD /E:ON,コマンド拡張機能を有効にします, ^
CMD /E:OFF,コマンド拡張機能を無効にします, ^
CMD /F:ON,ファイル名およびディレクトリ名補完文字を有効にします, ^
CMD /F:OFF,ファイルおよびディレクトリ名補完文字を無効にします, ^
CMD /V:ON,区切り文字として ! を使って遅延環境変数の展開を有効にします。, ^
［ALT－SPACE（システム メニュー）］－［E（編集）］－［K（範囲指定）］,システムメニューの表示＞範囲選択＞選択した後リターンキーでクリップボードにコピーされる, ^
［ALT－SPACE（システム メニュー）］－［E（編集）］－［P（貼り付け）］,クリップボードから貼り付け。他エクスプローラでフォルダやファイルをドラッグして、コマンド プロンプト ウィンドウにドロップするとコマンドライン上にパス名が展開、入力される。, ^
SET,CMD.EXE 環境変数を表示、設定、または削除します。SET [変数名=[文字列]]  変数名   環境変数名を指定します。  文字列   変に割り当てる文字列を指定します。, ^
C:\>SET PATHEXT,拡張子を省略して入力した時の実行される優先順を表示する。PATHEXTは環境変数　例）：　PATHEXT=.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH, ^
DFRG.MSC,XＰデフラグツールの起動, ^
IPCONFIG　/RELEASE,IPアドレスの解放, ^
ARP,IPから物理アドレスへのアドレス解決プロトコル(ARP)によって使用される変換テーブルを、表示して、変更します。,ARP -A; ARP（ADDRESS RESOLUTION PROTOCOL）というIPアドレスから対応するMACアドレスを調べるプロトコル ^
GETMAC, このコマンドライン ツールを使って、管理者がシステム上の 1 つ以上のアダプタ の MAC アドレスを表示することができます。,XP以降のみ使用可 ^
IPCONFIG /FLUSHDNS,キャッシュのクリア, ^
NET SHARE,共有ディレクトリ名・共有ディレクトリパスを表示, ^
NET USER,ユーザアカウントの一覧を表示, ^
NET FILE,ネットワーク越しに使用中のファイル一覧を表示する, ^
NET VIEW,ネットワーク上コンピュータ名を一覧する, ^
NET SESSION,クライアントの一覧情報, ^
IF文,IF EXIST C:\FILE1.TXT COPY C:\FILE1.TXT C:\BACKUP,TEST.BAT　としてダブルクリックすると実行される。「もしC:\FILE1.TXTがあるならC:\BACKUPとしてコピーせよ」 ^
REM,REMARK 注目、注釈, ^
ECHO,メッセージの表示　ECHO メッセージです! 　ECHO [ON|OFF]コマンドプロンプトの 表示するメッセージをオンしたりオフしたり, ^
ECHO %USERNAME%,ユーザー名の表示, ^
FSUTIL FILE CREATENEW,C:\DOCUMENTS AND SETTINGS\やま>FSUTIL FILE CREATENEW TESTFILE2.TXT 200000000000 →　エラー:  ディスクに十分な空き領域がありません。指定したサイズのファイルを一発で作成する（ディスク空き容量、ファイルシステムの制限は当然受ける。作成されるファイルの中身は、すべてゼロで埋められる。16進数でいうと、0X00というバイト・データばかりが詰まったファイルとなる。ほかの値を指定することはできない。, ^
AT,タスクを登録する：
C:\>AT 1 /DELETE 
C:\>AT 0:00 /EVERY:M~,S 
C:\TEST.BAT 
新しいジョブをジョブ ID = 1 で追加しました。 
C:\>AT 状態 ID 日付              時刻         
コマンド ライン
-------------------
1   毎 月曜日 土曜日        0:00          :
\TEST.BAT
,ADMIN権限が無いと使えな ^
CLIPBRD,クリップボードビューアの起動, ^
REGSVR32,REGSVR32 とはCOMコンポーネントをシステムに登録するために使う、WINDOWS付属のコンソールプログラムです。 コンソールプログラムなのでコマンドプロンプトなどで実行します。, ^
SET PATH=%PATH%;C:\WINDOWS\MICROSOFT.NET\FRAMEWORK\V2.0.50727,環境変数PATHにディレクトリを追加する書き方。環境変数のPATHに登録されていないディレクトリにあるファイルはコマンドプロンプトから実行することが出来ない。プロンプトを閉じてしまうと変数は設定前に戻ってしまうので、永続的な設定はコントロールパネル＞システム＞環境変数で設定する（XP|2000), ^
SET /A,式の計算　　>SET /A 1+1　　2　, ^
REGASM,アセンブリ登録ツールは、1 つのアセンブリに含まれるメタデータを読み込み、必要なエントリをレジストリに追加します。これにより、COM クライアントによって .NET FRAMEWORK クラスが自動的に作成されます。クラスが登録されると、どの COM クライアントでも、そのクラスを COM クラスであるかのように使用できます。クラスの登録は、アセンブリのインストール時に 1 回だけ行われます。実際に登録されるまでは、アセンブリに含まれるクラスのインスタンスを COM から作成することはできません。REGASM ASSEMBLYFILE [OPTIONS], ^
%変数名%,環境変数の値そのもの, ^
%変数名:置換前=置換後%,環境変数の値の中で、置換前の文字列にマッチする部分を全て置換後の文字列に置き換える。, ^
%変数名:~位置,長さ%,環境変数の値の一部（副文字列）。
位置は0から始まる。また、全角文字も1文字として扱われる。, , ^
!変数名!,環境変数の値そのもの。（遅延環境変数を有効にした（コマンドプロンプトの起動時に「/V:ON」を指定した）場合のみ使用可能）, ^
%PATH%,"環境変数：実行コマンドが存在するディレクトリ群を保持している。 
コマンドが実行される時は、ここで指定されているディレクトリにコマンドファイルを探しに行く。, , ^
%CD%,環境変数：カレントディレクトリ, ^
%DATE%,環境変数：現在日付。DATEコマンド相当。, ^
%TIME%,環境変数：現在時刻。TIMEコマンド相当。（CS(センチ秒)（＝1/100秒）まで表示する）, ^
%RANDOM%,環境変数：乱数（0～32767）, ^
%ERRORLEVEL%,環境変数：コマンドの終了コード（エラーコード）。 
IF文にはこれを判断する演算子が用意されている, , ^
%CMDCMDLINE%,環境変数：コマンドプロンプト起動時のコマンドラインの内容。拡張機能の確認に使える。, ^
%PATHEXT%,環境変数：拡張子を省略して実行できるファイルの種類を指定する, ^
%USERNAME%,環境変数：ログオンしているユーザーID, ^
%COMPUTERNAME%,環境変数： マシンのコンピューター名, ^
%HOMEDRIVE%,環境変数： ユーザーのホームドライブ, ^
%HOMEPATH%,環境変数：ユーザーのホームディレクトリ, ^
WINCV,CLASS VIEWERの起動：WINDOWS フォーム クラス ビューアは、.NET FRAMEWORK SDK VERSION 1.0 および 1.1 にのみ付属しています。, ^
C:\WINDOWS\SYSTEM32>HELP,コマンド一覧と説明の表示, ^
C:\WINDOWS\SYSTEM32>HELP CMD,"外部からコマンドプロンプトを起動する際のスイッチの表示と説明。エクセルのSHELL関数でSHELL ""CMD.EXE /K DIR""　などと書く際のスイッチ[/K]の説明はここにある。", ^
DEFRAG,DEFRAG C: -A でデフラグ分析のみ実行, ^
TYPE,テキスト ファイルまたはファイルの内容を表示します。
C:\>TYPE C:\USER.JS
USER_PREF("EXTENSIONS.BABYLONTOOLBAR_I.BABTRACK"~, "TT=010312_CTRL");
USER_PREF("EXTENSIONS.BABYLONTOOLBAR_I.BABEXT"~, "");
USER_PREF("EXTENSIONS.BABYLONTOOLBAR_I.SRCEXT"~, "DEF");
USER_PREF("EXTENSIONS.BABYLONTOOLBAR_I.INSTLREF"~, "STD");,TYPE  [ドライブ:][パス]ファイル名,テキストファイルの指定でコンソール上にファイル内容を開く^
SYSTEMINFO,WINSERVER2003|XP システムに関する情報が列挙される。システムディレクトリがどこなのか、コントロールパネルの環境変数をみても判らなかったので、このコマンドに行きついた。, ^
TREE,フォルダ、ファイルをツリー表示する,CD C:\TEST\TREE C:\TEST /F >C:\USERS\YAMA\DESKTOP\TREE.TXT
カレントディレクトリに移動してから実行しないと、ファイルを認識してくれない。
TREE C:\TEST /F >TREE.TXT　
パスを指定しない出力はカレントディレクトリに出力される ^
DXDIAG,DIRECTX 診断ツールの起動 PCの型番というのは、この画面のシステムタブにあるシステムモデルの事。32BIT版PCはX86、64BIT版はX64と表記される。
グラフィックの性能は、ディスプレイタブの「チップの種類」に依存する。PCのスペックを調べる, ^
CHCP,[コード ページ番号]を設定または表示する。CODEPAGE を設定するとは、例えばSHIFT_JISは、CODEPAGE : 932。
コマンドプロンプトでの入力に使用する文字コードをSHIFT_JISからUTF-8に変更する場合、
CHCP 65001 と入力する。DEFAULTは932。単に CHCP と入力すると現在のコードページ番号を返す。
実際に使用する可能性が感じられるのはUTF-8だが、コマンドプロンプトで日本語のFONT指定が用意されていない為、(WIN7現在)
日本語環境では使う場面はないと思われる。他言語のコードページ番号でMSのページにあった物を以下に記す。
CHARSET NAME       CHARSET VALUE(HEX)  CODEPAGE NUMBER
------------------------------------------------------

DEFAULT_CHARSET           1 (X01)
SYMBOL_CHARSET            2 (X02)
OEM_CHARSET             255 (XFF)
ANSI_CHARSET              0 (X00)            1252
RUSSIAN_CHARSET         204 (XCC)            1251
EE_CHARSET              238 (XEE)            1250
GREEK_CHARSET           161 (XA1)            1253
TURKISH_CHARSET         162 (XA2)            1254
BALTIC_CHARSET          186 (XBA)            1257
HEBREW_CHARSET          177 (XB1)            1255
ARABIC _CHARSET         178 (XB2)            1256
SHIFTJIS_CHARSET        128 (X80)             932
HANGEUL_CHARSET         129 (X81)             949
GB2313_CHARSET          134 (X86)             936
CHINESEBIG5_CHARSET     136 (X88)             950

437      IBM437        OEM United States
932      shift_jis     ANSI/OEM Japanese; Japanese (Shift-JIS)
1200     utf-16        Unicode UTF-16~, little endian byte order (BMP of ISO 10646);
                       available only to managed applications
20127    us-ascii      US-ASCII (7-bit)
20932    EUC-JP        Japanese (JIS 0208-1990 and 0121-1990)
50220    iso-2022-jp   ISO 2022 Japanese with no halfwidth Katakana;
                       Japanese (JIS)
50222    iso-2022-jp   ISO 2022 Japanese JIS X 0201-1989;
                       Japanese (JIS-Allow 1 byte Kana - SO/SI)
51932    euc-jp        EUC Japanese
65001    utf-8         Unicode (UTF-8),chcp 65001 ← utf-8 へ変換する記法^
[TAB], 	カレントディレクトリにあるファイルを（次々に）補完する。ワイルドカードを使っていた場合、それに合致するものだけが補完対象になる。
（オートコンプリートが機能していない場合は、ただ単にタブ文字が入力される）

SHIFT+TABで、補完対象ファイルの現れる順序が逆になる。,^
[ESC],現在のコマンドを消去する。,,^
[F3],直前のコマンドの、現在のカーソル位置から後ろ全てが補填される。,^
CTRL+C,現在実行中の処理（バッチ処理等）を中断（強制終了）する。UNIXのCTRL+Cに相当。,^
CTRL+H,BSキーと同じ。,^
CTRL+I,TABキーと同じ。,^
CTRL+M,ENTERキーと同じ。,^
CTRL+Z,EOF（END OF FILE：ファイルの終わり。文字コード0X1A）。UNIXのCTRL+Dに相当。,^
C:\USERS\YAMA>WSCRIPT.EXE /?, WINDOWS SCRIPT HOSTの使い方表示,^
